"","State","county","fips","pred","with_without"
"3312","Indiana","Bartholomew County",18005,-22.6671263423738,"without"
"3313","Indiana","Benton County",18007,-20.8189728770149,"without"
"3314","Indiana","Blackford County",18009,-21.789050226192,"without"
"3315","Indiana","Boone County",18011,-22.7980537859757,"without"
"3316","Indiana","Brown County",18013,NA,"without"
"3317","Indiana","Carroll County",18015,-21.9770537910329,"without"
"3318","Indiana","Cass County",18017,-26.9596977240538,"without"
"3319","Indiana","Clark County",18019,-21.6149915359536,"without"
"3320","Indiana","Clay County",18021,-23.8128300976799,"without"
"3321","Indiana","Clinton County",18023,-23.1568168417997,"without"
"3322","Indiana","Crawford County",18025,-20.0791877138606,"without"
"3323","Indiana","Daviess County",18027,-24.8579985954784,"without"
"3324","Indiana","Dearborn County",18029,-21.9320728225598,"without"
"3325","Indiana","Decatur County",18031,-22.2663497400194,"without"
"3326","Indiana","De Kalb County",18033,-22.0747946944618,"without"
"3327","Indiana","Delaware County",18035,-19.0497982970607,"without"
"3328","Indiana","Dubois County",18037,-22.4824049407732,"without"
"3329","Indiana","Elkhart County",18039,-24.7191596597308,"without"
"3330","Indiana","Fayette County",18041,-20.7417928476538,"without"
"3331","Indiana","Floyd County",18043,-21.9876445113599,"without"
"3332","Indiana","Fountain County",18045,-20.9994661368513,"without"
"3333","Indiana","Franklin County",18047,-22.8067620283977,"without"
"3334","Indiana","Fulton County",18049,-21.7927705822197,"without"
"3335","Indiana","Gibson County",18051,-20.6870893133302,"without"
"3336","Indiana","Grant County",18053,-21.3430883091844,"without"
"3337","Indiana","Greene County",18055,-22.8152508066455,"without"
"3338","Indiana","Hamilton County",18057,-22.9438097781356,"without"
"3339","Indiana","Hancock County",18059,-23.5880393573408,"without"
"3340","Indiana","Harrison County",18061,-23.3586793457651,"without"
"3341","Indiana","Hendricks County",18063,-23.6121100423027,"without"
"3342","Indiana","Henry County",18065,-21.4987185198067,"without"
"3343","Indiana","Howard County",18067,-20.1862816479934,"without"
"3344","Indiana","Huntington County",18069,-20.4202423973895,"without"
"3345","Indiana","Jackson County",18071,-25.1540722112281,"without"
"3346","Indiana","Jasper County",18073,-21.8107427042594,"without"
"3347","Indiana","Jay County",18075,-22.2405075547405,"without"
"3348","Indiana","Jefferson County",18077,-22.470633133282,"without"
