Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Southeast Fairbanks	Parks																																											
Southeast Fairbanks	Transit stations																																											
Southeast Fairbanks	Workplace		-49.5																																					-35.0				
Southeast Fairbanks	Residential																																											
Valdez-Cordova	Retail & recreation																																											
Valdez-Cordova	Grocery & pharmacy																																											
Valdez-Cordova	Parks																																											
Valdez-Cordova	Transit stations																																											
Valdez-Cordova	Workplace		-24.0	4.0	8.0	7.0				10.5	2.0	9.0	13.0				9.5	10.5	0.5	-8.0	7.5			0.5	-3.0	-6.0	-3.0				-6.0	-14.0	-12.0	-16.0	-17.0				-26.0	-28.5	-27.0	-23.5		
Valdez-Cordova	Residential																																											
